Requirement ID,Test Case ID,Test Type,Module,Priority,Test Scenario,Preconditions,Test Steps,Expected Result,Automation Candidate,Status,Comments
FR-01,TC-01,Smoke,Login,High,Verify successful login with valid credentials,Registered user exists,Open login page → Enter valid email & password → Click Login,User is successfully logged in and redirected to the home page,Yes,Not Executed,Core business flow
FR-01,TC-02,Smoke,Login,High,Verify login with invalid password,Registered user exists,Enter valid email and invalid password → Click Login,Appropriate error message is displayed and login is denied,Yes,Not Executed,Negative scenario
FR-02,TC-03,Smoke,Product Search,High,Verify search using a valid product keyword,User is logged in,Search for an existing product,Matching products are displayed,Yes,Not Executed,Search validation
FR-02,TC-04,Smoke,Product Search,Medium,Verify search with a non-existing keyword,User is logged in,Search for a random/non-existing product,"""No products found"" or equivalent message is displayed",Yes,Not Executed,Negative scenario
FR-03,TC-05,Smoke,Shopping Cart,High,Verify product can be added to cart,User is logged in,Open product → Click Add to Cart,Product is added successfully and cart count is updated,Yes,Not Executed,Critical business flow
FR-04,TC-06,Smoke,Checkout,Critical,Verify successful checkout with valid customer details,Product exists in cart,Proceed to checkout → Enter valid customer information → Place order,Order is placed successfully and confirmation page is displayed,Yes,Not Executed,End-to-end flow
FR-04,TC-07,Smoke,Checkout,High,Verify mandatory field validation during checkout,Product exists in cart,Leave mandatory fields blank → Submit,Validation messages are displayed and order is not placed,Yes,Not Executed,Validation check
FR-01,TC-08,Regression,Login,Medium,Verify user session persists after page refresh,User is logged in,Refresh browser,User remains logged in,Yes,Not Executed,Session management
FR-02,TC-09,Regression,Product Search,Medium,Verify partial keyword search,User is logged in,Search using a partial product name,Relevant matching products are displayed,Yes,Not Executed,Search behaviour
FR-02,TC-10,Regression,Product Search,Low,Verify search is case insensitive,User is logged in,Search using uppercase/lowercase keyword,Same search results are displayed regardless of case,Yes,Not Executed,Usability
FR-03,TC-11,Regression,Shopping Cart,Medium,Verify product quantity can be updated,Product already in cart,Increase/decrease product quantity,Cart quantity and total price update correctly,Yes,Not Executed,Functional validation
FR-03,TC-12,Regression,Shopping Cart,Medium,Verify product can be removed from cart,Product already in cart,Click Remove/Delete,Product is removed and cart updates correctly,Yes,Not Executed,Cart validation
FR-04,TC-13,Regression,Checkout,High,Verify checkout with multiple products,Multiple products added to cart,Complete checkout process,Order is successfully placed with all selected products,Yes,Not Executed,Multi-product validation
FR-04,TC-14,Regression,Checkout,Medium,Verify order summary before confirmation,Product exists in cart,Navigate to order summary page,"Correct product, quantity and pricing information are displayed",Yes,Not Executed,Order verification
FR-04,TC-15,Regression,Checkout,High,Verify order confirmation details after successful checkout,Successful order placement,Review confirmation page,"Order number, customer details and purchased products are displayed correctly",Yes,Not Executed,Post-checkout validation
